Combined_diseases	Agonistic	Antagonistic
skin_skin	1	0
skin_skeletal	1	0
skin_respiratory	1	0
skin_reproductive	0	0
skin_infectious	0	0
skin_immune	3	2
skin_kidney	0	0
skin_cardio	0	0
skin_metabolic	1	0
skin_headneck	0	0
skin_nervous	0	0
skin_eye	0	0
skin_endocrine	0	0
skin_cancer	1	0
skeletal_skeletal	45	0
skeletal_respiratory	1	4
skeletal_reproductive	0	0
skeletal_infectious	0	0
skeletal_immune	61	26
skeletal_kidney	2	0
skeletal_cardio	7	0
skeletal_metabolic	28	14
skeletal_headneck	0	0
skeletal_nervous	13	11
skeletal_eye	0	0
skeletal_endocrine	8	0
skeletal_cancer	25	7
respiratory_respiratory	11	0
respiratory_reproductive	1	0
respiratory_infectious	1	0
respiratory_immune	23	14
respiratory_kidney	0	0
respiratory_cardio	2	2
respiratory_metabolic	9	5
respiratory_headneck	0	0
respiratory_nervous	5	3
respiratory_eye	0	0
respiratory_endocrine	2	1
respiratory_cancer	12	6
reproductive_reproductive	11	0
reproductive_infectious	0	0
reproductive_immune	1	1
reproductive_kidney	0	0
reproductive_cardio	1	4
reproductive_metabolic	0	0
reproductive_headneck	0	0
reproductive_nervous	0	1
reproductive_eye	0	0
reproductive_endocrine	1	0
reproductive_cancer	7	6
infectious_infectious	6	1
infectious_immune	1	1
infectious_kidney	0	0
infectious_cardio	1	1
infectious_metabolic	1	5
infectious_headneck	0	0
infectious_nervous	1	0
infectious_eye	0	0
infectious_endocrine	0	1
infectious_cancer	0	3
immune_immune	307	34
immune_kidney	4	4
immune_cardio	30	12
immune_metabolic	254	96
immune_headneck	1	0
immune_nervous	53	25
immune_eye	7	0
immune_endocrine	23	4
immune_cancer	68	43
kidney_kidney	5	0
kidney_cardio	0	0
kidney_metabolic	3	2
kidney_headneck	0	0
kidney_nervous	0	0
kidney_eye	0	0
kidney_endocrine	0	0
kidney_cancer	4	2
cardio_cardio	90	9
cardio_metabolic	16	19
cardio_headneck	0	0
cardio_nervous	19	12
cardio_eye	0	0
cardio_endocrine	5	3
cardio_cancer	14	11
metabolic_metabolic	317	30
metabolic_headneck	0	0
metabolic_nervous	41	31
metabolic_eye	5	2
metabolic_endocrine	8	4
metabolic_cancer	46	28
headneck_headneck	1	0
headneck_nervous	0	2
headneck_eye	0	0
headneck_endocrine	1	0
headneck_cancer	1	0
nervous_nervous	79	10
nervous_eye	0	1
nervous_endocrine	7	2
nervous_cancer	36	33
eye_eye	2	0
eye_endocrine	0	0
eye_cancer	0	2
endocrine_endocrine	31	2
endocrine_cancer	36	4
cancer_cancer	188	27
