Combined_diseases	Total_observed	Exp_prob
nervous_nervous	89	0.00984940467171765
nervous_eye	1	0.0005218227640645112
kidney_eye	0	3.455779894466962e-05
infectious_cardio	2	0.00037668000849689883
headneck_endocrine	1	4.319724868083702e-05
kidney_cardio	0	0.0004708500106211236
infectious_kidney	0	3.455779894466962e-05
skin_reproductive	0	1.663094074212225e-05
immune_endocrine	27	0.0073348928260061255
infectious_immune	2	0.0014669785652012253
skeletal_metabolic	42	0.015125300639351677
reproductive_immune	2	0.0020170955271516847
skin_kidney	0	1.5119037038292957e-05
skeletal_immune	87	0.01705362582046424
skin_cancer	1	0.00036663664817860415
infectious_endocrine	1	0.00013823119577867845
immune_eye	7	0.0014669785652012253
cardio_cardio	99	0.005132265115770246
cardio_eye	0	0.00037668000849689883
respiratory_immune	37	0.007701637467306432
immune_cancer	111	0.044467787757662136
kidney_kidney	5	4.319724868083702e-05
metabolic_endocrine	12	0.006505505651334055
respiratory_headneck	0	4.535711111487887e-05
skin_immune	5	0.0006418031222755361
kidney_nervous	0	0.000652278455080639
skeletal_kidney	2	0.00040173441273178424
endocrine_cancer	40	0.004190133122041191
endocrine_endocrine	33	0.0006911559788933923
eye_eye	2	2.7646239155735698e-05
respiratory_endocrine	3	0.0007257137778380619
immune_immune	341	0.07784155011599002
respiratory_reproductive	1	0.00019957128890546704
skin_metabolic	1	0.0005692317444917298
kidney_headneck	0	1.0799312170209254e-05
reproductive_cardio	5	0.0005179350116832358
kidney_metabolic	5	0.0016263764128335138
headneck_cancer	1	0.00026188332012757443
metabolic_eye	7	0.001301101130266811
respiratory_respiratory	11	0.0007619994667299651
metabolic_headneck	0	0.00040659410320837845
reproductive_reproductive	11	5.226867090381279e-05
respiratory_cancer	18	0.00439963977814325
respiratory_metabolic	14	0.006830780933900758
skin_skeletal	1	0.0001406070444561245
cardio_nervous	31	0.007109835160378965
reproductive_cancer	13	0.0011522866085613274
skeletal_nervous	24	0.006066189632249943
skeletal_cardio	7	0.004378905098776449
infectious_headneck	0	8.639449736167403e-06
skeletal_skeletal	45	0.003736130038405594
skin_endocrine	0	6.047614815317183e-05
respiratory_eye	0	0.0001451427555676124
infectious_nervous	1	0.0005218227640645112
skeletal_reproductive	0	0.0004419078540049627
skin_headneck	0	3.779759259573239e-06
metabolic_metabolic	347	0.06123307194318179
skeletal_endocrine	8	0.001606937650927137
immune_headneck	1	0.00045843080162538284
immune_cardio	42	0.019987582950866695
infectious_infectious	7	2.7646239155735698e-05
skin_nervous	0	0.00022829745927822366
metabolic_cancer	74	0.03943962801121271
reproductive_metabolic	0	0.001789014054116865
reproductive_eye	0	3.8013578839136585e-05
kidney_cancer	6	0.0010475332805102977
eye_endocrine	0	0.00013823119577867848
skeletal_cancer	32	0.009742059508745769
skin_skin	1	5.291662963402535e-06
cardio_cancer	25	0.011418112757562245
headneck_nervous	2	0.00016306961377015973
skin_eye	0	1.2095229630634367e-05
infectious_metabolic	6	0.001301101130266811
respiratory_kidney	0	0.00018142844445951547
skin_infectious	0	1.2095229630634367e-05
cancer_cancer	215	0.02540268205237472
respiratory_cardio	4	0.0019775700446087187
reproductive_nervous	1	0.0007175063005887029
reproductive_endocrine	1	0.00019006789419568287
reproductive_headneck	0	1.1879243387230179e-05
infectious_cancer	3	0.0008380266244082382
cardio_metabolic	35	0.0177275028998853
cardio_endocrine	8	0.001883400042484494
immune_nervous	78	0.027689220418173125
eye_cancer	2	0.0008380266244082383
skeletal_respiratory	5	0.001687284533473494
headneck_headneck	1	2.6998280425523136e-06
infectious_eye	0	2.7646239155735694e-05
kidney_endocrine	0	0.00017278899472334807
reproductive_infectious	0	3.8013578839136585e-05
metabolic_nervous	72	0.02455828383378606
nervous_cancer	69	0.015817752535705495
respiratory_infectious	1	0.0001451427555676124
reproductive_kidney	0	4.7516973548920717e-05
immune_kidney	8	0.0018337232065015314
cardio_headneck	0	0.00011771250265528087
respiratory_nervous	8	0.002739569511338684
headneck_eye	0	8.639449736167405e-06
skeletal_eye	0	0.0003213875301854275
nervous_endocrine	9	0.0026091138203225557
skeletal_infectious	0	0.0003213875301854274
skin_respiratory	1	6.349995556083042e-05
immune_metabolic	350	0.06903967872478266
skin_cardio	0	0.00016479750371739324
skeletal_headneck	0	0.00010043360318294606
