Combined_diseases	Total_observed	Exp_prob
nervous_nervous	23	0.011455309259002166
nervous_eye	1	0.0006795522441780946
kidney_eye	0	4.3191879926573805e-05
infectious_cardio	1	0.0003290809899167528
headneck_endocrine	1	4.031242126480222e-05
kidney_cardio	0	0.0004936214848751293
infectious_kidney	0	3.085134280469558e-05
skin_reproductive	0	1.3574590834066052e-05
immune_endocrine	16	0.006349206349206349
infectious_immune	1	0.001295756397797214
skeletal_metabolic	33	0.014661380803266127
reproductive_immune	2	0.0014253320375769356
skin_kidney	0	1.8510805682817344e-05
skeletal_immune	55	0.01839974084872044
skin_cancer	1	0.00043562096040230153
infectious_endocrine	0	0.00010078105316200556
immune_eye	6	0.0018140589569160999
cardio_cardio	41	0.005265295838668045
cardio_eye	0	0.0004607133858834539
respiratory_immune	30	0.009459021703919664
immune_cancer	84	0.04574020084224166
kidney_kidney	0	4.6277014207043356e-05
metabolic_endocrine	8	0.005059208868732679
respiratory_headneck	0	6.0057280659807384e-05
skin_immune	4	0.0007774538386783284
kidney_nervous	0	0.0007280916901908156
skeletal_kidney	1	0.0004380890678266771
endocrine_cancer	11	0.003557571176618796
endocrine_endocrine	2	0.0004938271604938272
eye_eye	0	4.031242126480222e-05
respiratory_endocrine	1	0.0007357016880826405
immune_immune	122	0.08163265306122448
respiratory_reproductive	1	0.0001651575218144703
skin_metabolic	0	0.000619494963518287
kidney_headneck	0	1.234053712187823e-05
reproductive_cardio	4	0.0003619890889084281
kidney_metabolic	4	0.0015487374087957177
headneck_cancer	0	0.00029041397360153435
metabolic_eye	6	0.0014454882482093365
respiratory_respiratory	0	0.0010960453720414846
metabolic_headneck	0	0.0004129966423455248
reproductive_reproductive	0	2.488674986245443e-05
respiratory_cancer	13	0.005300055018228001
respiratory_metabolic	11	0.007537188722805827
skin_skeletal	1	0.00017523562713067087
cardio_nervous	20	0.007766311362035366
reproductive_cancer	3	0.0007986384274042194
skeletal_nervous	17	0.006892601333806387
skeletal_cardio	5	0.00467295005681789
infectious_headneck	0	8.22702474791882e-06
skeletal_skeletal	1	0.004147243175425877
skin_endocrine	0	6.046863189720332e-05
respiratory_eye	0	0.00021020048230932585
infectious_nervous	1	0.00048539446012721036
skeletal_reproductive	0	0.0003212653164062299
skin_headneck	0	4.936214848751293e-06
metabolic_metabolic	96	0.051831078614363355
skeletal_endocrine	2	0.0014310909549004789
immune_headneck	1	0.0005183025591188857
immune_cardio	35	0.020732102364755423
infectious_infectious	1	2.0567561869797052e-05
skin_nervous	0	0.0002912366760763262
metabolic_cancer	55	0.03644695368699256
reproductive_metabolic	0	0.001135740766450193
reproductive_eye	0	3.167404527948746e-05
kidney_cancer	5	0.0010890524010057536
eye_endocrine	0	0.00014109347442680778
skeletal_cancer	22	0.010309696062854468
skin_skin	0	7.4043222731269366e-06
cardio_cancer	18	0.011616558944061373
headneck_nervous	2	0.00019415778405088414
skin_eye	0	1.7276751970629525e-05
infectious_metabolic	3	0.001032491605863812
respiratory_kidney	0	0.0002252148024742777
skin_infectious	0	1.234053712187823e-05
cancer_cancer	83	0.025629033170335404
respiratory_cardio	3	0.0024022912263922955
reproductive_nervous	1	0.0005339339061399314
reproductive_endocrine	0	0.00011085915847820611
reproductive_headneck	0	9.049727222710701e-06
infectious_cancer	2	0.0007260349340038358
cardio_metabolic	27	0.016519865693820992
cardio_endocrine	5	0.0016124968505920889
immune_nervous	59	0.030579850988014256
eye_cancer	1	0.0010164489076053703
skeletal_respiratory	5	0.002132033463423162
headneck_headneck	0	3.290809899167528e-06
infectious_eye	0	2.879458661771587e-05
kidney_endocrine	0	0.00015117157974300834
reproductive_infectious	0	2.2624318056776756e-05
metabolic_nervous	49	0.02436680189838596
nervous_cancer	54	0.017134424442490526
respiratory_infectious	1	0.00015014320164951847
reproductive_kidney	0	3.393647708516513e-05
immune_kidney	5	0.001943634596695821
cardio_headneck	0	0.00013163239596670112
respiratory_nervous	7	0.0035433795589286357
headneck_eye	0	1.1517834647086347e-05
skeletal_eye	0	0.0004088831299715654
nervous_endocrine	2	0.0023784328546233306
skeletal_infectious	0	0.00029205937855111814
skin_respiratory	0	9.008592098971107e-05
immune_metabolic	210	0.06504697116942014
skin_cardio	0	0.00019744859395005168
skeletal_headneck	0	0.00011682375142044724
