Combined_diseases	Total_observed	Exp_prob
nervous_nervous	66	0.006202972186305614
nervous_eye	0	0.00018796885413047316
kidney_eye	0	1.424006470685403e-05
infectious_cardio	1	0.0004955542517985201
headneck_endocrine	0	4.4144200591247486e-05
kidney_cardio	0	0.0004129618764987668
infectious_kidney	0	4.2720194120562084e-05
skin_reproductive	0	1.5664071177539433e-05
immune_endocrine	11	0.009667579929483198
infectious_immune	1	0.0018711445024806193
skeletal_metabolic	9	0.01572672746224959
reproductive_immune	0	0.003430431587881135
skin_kidney	0	7.120032353427013e-06
skeletal_immune	32	0.01372172635152454
skin_cancer	0	0.00018796885413047316
infectious_endocrine	1	0.00026486520354748494
immune_eye	1	0.0006237148341602064
cardio_cardio	58	0.004790357767385694
cardio_eye	0	0.00016518475059950675
respiratory_immune	7	0.003430431587881135
immune_cancer	27	0.041165179054573627
kidney_kidney	5	3.5600161767135065e-05
metabolic_endocrine	4	0.011080194348403119
respiratory_headneck	0	1.5664071177539433e-05
skin_immune	1	0.0003118574170801032
kidney_nervous	0	0.0004699221353261829
skeletal_kidney	1	0.0003132814235507886
endocrine_cancer	29	0.005827034478044667
endocrine_endocrine	31	0.0013684702183286719
eye_eye	2	5.696025882741612e-06
respiratory_endocrine	2	0.0004855862065037223
immune_immune	219	0.0682967743405426
respiratory_reproductive	0	0.00017230478295293374
skin_metabolic	1	0.0003574256241420361
kidney_headneck	0	7.120032353427015e-06
reproductive_cardio	1	0.0009085161282972869
